datum,tekst
2026-07-08,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-09,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-10,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-11,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-12,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-13,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-14,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-15,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-16,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-17,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-18,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-19,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-20,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-21,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-22,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-23,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-24,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-25,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-26,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-27,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-28,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-29,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-30,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-31,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-01,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-02,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-03,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-04,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-05,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-06,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-07,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-08,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-09,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-10,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-11,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-12,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-13,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-14,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-15,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-16,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-17,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-18,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-19,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-20,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-21,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-22,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-23,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-24,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-25,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-26,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-27,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-28,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-29,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-08-30,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-08-31,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-01,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-02,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-03,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-04,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-05,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-06,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-07,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-08,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-09,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-10,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-11,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-12,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-13,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-14,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-15,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-16,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-17,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-18,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-19,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-20,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-21,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-22,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-23,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-24,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-25,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-26,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-27,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-28,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-09-29,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-09-30,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-01,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-02,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-03,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-04,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-05,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-06,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-07,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-08,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-09,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-10,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-11,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-12,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-13,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-14,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-15,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-16,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-17,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-18,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-19,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-20,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-21,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-22,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-23,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-24,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-25,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-26,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-27,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-28,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-29,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-10-30,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-10-31,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-01,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-02,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-03,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-04,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-05,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-06,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-07,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-08,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-09,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-10,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-11,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-12,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-13,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-14,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-15,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-16,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-17,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-18,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-19,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-20,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-21,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-22,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-23,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-24,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-25,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-26,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-27,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-28,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-11-29,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-11-30,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-12-01,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-12-02,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-12-03,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-12-04,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-12-05,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-12-06,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-12-07,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
